Trinity_ID	uninfected_cold	infected_cold	uninfected_warm	infected_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN12600_c0_g1_i2	0	0	108	109	48.25266569	8.918858667	2.137605805	4.17235893	3.01e-05	0.009465915	1	sp	Q8VHC8	MA2B1_CAVPO	48.1	1023	465	21	304	3336	34	1002	1.7e-252	874.4	MA2B1_CAVPO	reviewed	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B)	MAN2B1 MANB	Cavia porcellus (Guinea pig)	1007	mannose metabolic process [GO:0006013]	lysosome [GO:0005764]	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	lysosome [GO:0005764]; alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]	GO:0004559; GO:0005764; GO:0006013; GO:0030246; GO:0046872
TRINITY_DN12397_c1_g1_i1	67	148	0	0	58.71905476	-9.373272655	2.035204843	-4.605567193	4.11e-06	0.002472057	2	sp	O75914	PAK3_HUMAN	79.1	321	66	1	10	969	236	556	1.5e-144	516.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN428_c0_g1_i6	371	761	2054	2161	1246.630275	1.699912973	0.404230338	4.205307755	2.61e-05	0.00850171	1	sp	Q9P2E3	ZNFX1_HUMAN	32.2	2019	1092	42	913	6855	131	1911	7.1e-206	720.3	ZNFX1_HUMAN	reviewed	NFX1-type zinc finger-containing protein 1	ZNFX1 KIAA1404	Homo sapiens (Human)	1918		nucleus [GO:0005634]	RNA binding [GO:0003723]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]; RNA binding [GO:0003723]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; zinc ion binding [GO:0008270]	GO:0003700; GO:0003723; GO:0005634; GO:0008270
TRINITY_DN10286_c0_g1_i1	17	39	221	397	153.5456718	3.234432835	0.864498325	3.741398614	0.000182999	0.032322199	1	sp	P17861	XBP1_HUMAN	66.7	57	18	1	422	589	48	104	2.6e-08	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4702_c0_g1_i2	0	0	212	164	83.37099864	9.700601784	1.88167167	5.155310535	2.53e-07	0.000330265	1	sp	P09917	LOX5_HUMAN	26.7	688	466	14	231	2222	1	674	9.3e-70	267.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1091_c0_g1_i16	182	50	0	0	62.10922427	-9.323207619	2.011217923	-4.635602891	3.56e-06	0.002270095	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN32526_c0_g1_i15	0	0	48	223	61.08932032	8.878151601	2.021081893	4.392771828	1.12e-05	0.004413078	1	sp	P51023	PNT_DROME	81.7	115	15	1	1683	2027	590	698	3.5e-49	198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN30357_c0_g2_i2	0	0	81	81	36.01916514	8.497165274	2.323461251	3.657115121	0.00025507	0.039317857	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5929_c1_g1_i14	461	480	18	30	265.8121926	-4.617082347	0.700532535	-6.590817866	4.37e-11	1.85e-07	2	sp	Q9QX15	CA3A1_MOUSE	34.1	308	166	9	345	1205	24	315	1.4e-41	172.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1566_c1_g1_i12	0	0	77	103	40.14535737	8.63535277	2.250316696	3.837394437	0.000124347	0.024987426	1	sp	Q6PE18	P4K2A_DANRE	67.8	385	114	2	335	1483	70	446	1.1e-158	562.8	P4K2A_DANRE	reviewed	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	pi4k2a pi4kii si:ch211-197k17.1	Danio rerio (Zebrafish) (Brachydanio rerio)	447	endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]	cell junction [GO:0030054]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; endosome [GO:0005768]; growing cell tip [GO:0035838]; host cell presynaptic membrane [GO:0044231]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; lysosomal membrane [GO:0005765]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; trans-Golgi network [GO:0005802]	1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]	cell junction [GO:0030054]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; endosome [GO:0005768]; growing cell tip [GO:0035838]; host cell presynaptic membrane [GO:0044231]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; lysosomal membrane [GO:0005765]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; trans-Golgi network [GO:0005802]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]; endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]	GO:0004430; GO:0005524; GO:0005739; GO:0005765; GO:0005768; GO:0005802; GO:0005886; GO:0005887; GO:0006661; GO:0007030; GO:0007032; GO:0030054; GO:0030425; GO:0031224; GO:0031410; GO:0035651; GO:0035838; GO:0042734; GO:0043005; GO:0043025; GO:0044231; GO:0045121; GO:0046854
