Trinity_ID	380822	380823	380824	380825	V2	uniprot_acc_ID	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN7794_c3_g1_i3	0	60	0	61	sp	Q9LD90	CBF5_ARATH	64.5	397	139	2	60	1247	8	403	4.2e-151	536.6	CBF5_ARATH	reviewed	H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp-140-associated protein of 57 kDa homolog) (AtNAP57) (Nucleolar protein NAP57 homolog)	CBF5 NAP57 At3g57150 F24I3.230	Arabidopsis thaliana (Mouse-ear cress)	565	box H/ACA snoRNA 3'-end processing [GO:0000495]; mRNA pseudouridine synthesis [GO:1990481]; rRNA pseudouridine synthesis [GO:0031118]; snRNA pseudouridine synthesis [GO:0031120]	box H/ACA snoRNP complex [GO:0031429]; cytosol [GO:0005829]; nucleolus [GO:0005730]; plasmodesma [GO:0009506]	box H/ACA snoRNP complex [GO:0031429]; cytosol [GO:0005829]; nucleolus [GO:0005730]; plasmodesma [GO:0009506]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; box H/ACA snoRNA 3'-end processing [GO:0000495]; mRNA pseudouridine synthesis [GO:1990481]; rRNA pseudouridine synthesis [GO:0031118]; snRNA pseudouridine synthesis [GO:0031120]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]	GO:0000495; GO:0003723; GO:0005730; GO:0005829; GO:0009506; GO:0009982; GO:0031118; GO:0031120; GO:0031429; GO:1990481
TRINITY_DN12637_c0_g1_i2	0	58	0	98	sp	Q66L33	MK16A_XENLA	54.4	195	86	2	200	781	1	193	1.1e-57	225.3	MK16A_XENLA	reviewed	Protein MAK16 homolog A (MAK16-like protein A)	mak16-a mak16l-a	Xenopus laevis (African clawed frog)	301		nucleolus [GO:0005730]	nucleolus [GO:0005730]		GO:0005730
TRINITY_DN2496_c0_g1_i1	0	67	0	185	sp	P78946	RL26_SCHPO	57.9	76	32	0	74	301	1	76	3.7e-16	85.5	RL26_SCHPO	reviewed	60S ribosomal protein L26	rpl26 SPBC29B5.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	126	cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; nucleus [GO:0005634]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005730; GO:0005829; GO:0022625; GO:0042273
TRINITY_DN8437_c0_g1_i1	0	50	0	101	sp	Q8BW49	TTC12_MOUSE	38.1	118	71	2	814	1161	105	222	1.4e-12	75.9	TTC12_MOUSE	reviewed	Tetratricopeptide repeat protein 12 (TPR repeat protein 12)	Ttc12	Mus musculus (Mouse)	704		centrosome [GO:0005813]	centrosome [GO:0005813]		GO:0005813
TRINITY_DN18109_c0_g1_i3	0	53	0	136	sp	O77302	RS10_LUMRU	53.9	102	44	1	80	376	1	102	7.6e-23	109.4	RS10_LUMRU	reviewed	40S ribosomal protein S10	RPS10	Lumbricus rubellus (Humus earthworm)	156		cytoplasm [GO:0005737]; ribosome [GO:0005840]	cytoplasm [GO:0005737]; ribosome [GO:0005840]		GO:0005737; GO:0005840
TRINITY_DN1373_c0_g1_i20	107	0	63	0	sp	Q502I9	FCHO2_DANRE	33.5	1019	487	13	105	3119	6	847	6.2e-137	490.7	FCHO2_DANRE	reviewed	F-BAR domain only protein 2	fcho2 zgc:112167	Danio rerio (Zebrafish) (Brachydanio rerio)	848	chordate embryonic development [GO:0043009]; clathrin coat assembly [GO:0048268]; clathrin-dependent endocytosis [GO:0072583]; membrane invagination [GO:0010324]; protein localization to plasma membrane [GO:0072659]; synaptic vesicle endocytosis [GO:0048488]	clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; presynapse [GO:0098793]	clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; cytoskeletal protein binding [GO:0008092]; phosphatidylinositol binding [GO:0035091]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylserine binding [GO:0001786]; chordate embryonic development [GO:0043009]; clathrin coat assembly [GO:0048268]; clathrin-dependent endocytosis [GO:0072583]; membrane invagination [GO:0010324]; protein localization to plasma membrane [GO:0072659]; synaptic vesicle endocytosis [GO:0048488]	cytoskeletal protein binding [GO:0008092]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol binding [GO:0035091]; phosphatidylserine binding [GO:0001786]	GO:0001786; GO:0005546; GO:0005737; GO:0005856; GO:0005886; GO:0005905; GO:0008092; GO:0010324; GO:0030136; GO:0035091; GO:0043009; GO:0048268; GO:0048488; GO:0072583; GO:0072659; GO:0098793
TRINITY_DN9426_c0_g1_i20	0	83	0	118	sp	Q5PQL3	SPP2B_RAT	39.1	486	273	8	204	1637	22	492	1.7e-75	285.4	SPP2B_RAT	reviewed	Signal peptide peptidase-like 2B (SPP-like 2B) (SPPL2b) (EC 3.4.23.-)	Sppl2b	Rattus norvegicus (Rat)	577	membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; membrane protein proteolysis [GO:0033619]; regulation of immune response [GO:0050776]	actin cytoskeleton [GO:0015629]; centrosome [GO:0005813]; endosome membrane [GO:0010008]; Golgi-associated vesicle membrane [GO:0030660]; Golgi membrane [GO:0000139]; integral component of cytoplasmic side of endoplasmic reticulum membrane [GO:0071458]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	actin cytoskeleton [GO:0015629]; centrosome [GO:0005813]; endosome membrane [GO:0010008]; Golgi membrane [GO:0000139]; Golgi-associated vesicle membrane [GO:0030660]; integral component of cytoplasmic side of endoplasmic reticulum membrane [GO:0071458]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]; protein homodimerization activity [GO:0042803]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; membrane protein proteolysis [GO:0033619]; regulation of immune response [GO:0050776]	aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]; protein homodimerization activity [GO:0042803]	GO:0000139; GO:0005654; GO:0005765; GO:0005813; GO:0005886; GO:0006509; GO:0010008; GO:0015629; GO:0016020; GO:0030660; GO:0031293; GO:0033619; GO:0042500; GO:0042803; GO:0050776; GO:0071458; GO:0071556
TRINITY_DN6665_c0_g1_i1	0	23	0	126	sp	Q27268	DX39B_DROME	65.1	427	140	4	83	1360	3	421	5.7e-156	552.4	DX39B_DROME	reviewed	ATP-dependent RNA helicase WM6 (DEAD box protein UAP56) (Dmrnahel) (EC 3.6.4.13) (HEL/UAP56)	Hel25E Dbp25F hel WM6 CG7269	Drosophila melanogaster (Fruit fly)	424	chromatin remodeling [GO:0006338]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]	nuclear speck [GO:0016607]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; transcription export complex [GO:0000346]	nuclear speck [GO:0016607]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; transcription export complex [GO:0000346]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; chromatin remodeling [GO:0006338]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0000346; GO:0000381; GO:0000398; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005681; GO:0006338; GO:0006406; GO:0016607
TRINITY_DN1556_c0_g1_i1	0	19	0	145	sp	Q54WR9	GLNA3_DICDI	37.5	704	395	10	298	2319	45	733	1.7e-127	458.8	GLNA3_DICDI	reviewed	Type-3 glutamine synthetase (EC 6.3.1.2) (Type-3 glutamate--ammonia ligase) (Type-3 GS)	glnA3 glnB DDB_G0279591	Dictyostelium discoideum (Slime mold)	735	nitrogen compound metabolic process [GO:0006807]; response to bacterium [GO:0009617]	phagocytic vesicle [GO:0045335]	phagocytic vesicle [GO:0045335]; ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; nitrogen compound metabolic process [GO:0006807]; response to bacterium [GO:0009617]	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]	GO:0004356; GO:0005524; GO:0006807; GO:0009617; GO:0045335
TRINITY_DN1473_c3_g1_i11	0	45	0	114	sp	P56941	NPC1_PIG	37.3	1441	660	29	338	4546	25	1259	2.1e-247	857.8	NPC1_PIG	reviewed	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	NPC1	Sus scrofa (Pig)	1277	bile acid metabolic process [GO:0008206]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; intracellular cholesterol transport [GO:0032367]; lysosomal transport [GO:0007041]; protein glycosylation [GO:0006486]	endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; integral component of lysosomal membrane [GO:1905103]; integral component of plasma membrane [GO:0005887]; late endosome membrane [GO:0031902]; lysosome [GO:0005764]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]	endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; integral component of lysosomal membrane [GO:1905103]; integral component of plasma membrane [GO:0005887]; late endosome membrane [GO:0031902]; lysosome [GO:0005764]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; cholesterol binding [GO:0015485]; lipid transporter activity [GO:0005319]; bile acid metabolic process [GO:0008206]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; intracellular cholesterol transport [GO:0032367]; lysosomal transport [GO:0007041]; protein glycosylation [GO:0006486]	cholesterol binding [GO:0015485]; lipid transporter activity [GO:0005319]	GO:0005319; GO:0005576; GO:0005635; GO:0005764; GO:0005783; GO:0005887; GO:0006486; GO:0007041; GO:0008203; GO:0008206; GO:0015485; GO:0030301; GO:0031902; GO:0032367; GO:0042632; GO:0048471; GO:1905103
