Trinity_ID	uninfected_cold	infected_cold	uninfected_warm	infected_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN83943_c0_g1_i4	0	322	18	355	173.628955	6.337655582	1.13506748	5.583505558	2.36e-08	5.58e-05	1	sp	Q99L47	F10A1_MOUSE	50.2	239	115	1	36	740	1	239	1.6e-47	192.6	F10A1_MOUSE	reviewed	Hsc70-interacting protein (Hip) (Protein FAM10A1) (Protein ST13 homolog)	St13 Fam10a1 Hip	Mus musculus (Mouse)	371	chaperone cofactor-dependent protein refolding [GO:0070389]; negative regulation of protein refolding [GO:0061084]; protein homooligomerization [GO:0051260]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; protein complex [GO:0043234]	chaperone binding [GO:0051087]; dATP binding [GO:0032564]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; protein complex binding [GO:0032403]; protein dimerization activity [GO:0046983]; protein domain specific binding [GO:0019904]; unfolded protein binding [GO:0051082]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; protein complex [GO:0043234]; chaperone binding [GO:0051087]; dATP binding [GO:0032564]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; protein complex binding [GO:0032403]; protein dimerization activity [GO:0046983]; protein domain specific binding [GO:0019904]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0070389]; negative regulation of protein refolding [GO:0061084]; protein homooligomerization [GO:0051260]	GO:0005829; GO:0019904; GO:0030544; GO:0032403; GO:0032564; GO:0042802; GO:0043234; GO:0046983; GO:0051082; GO:0051087; GO:0051260; GO:0061084; GO:0070062; GO:0070389
TRINITY_DN7721_c0_g2_i1	0	39	0	87	30.54890757	8.381214665	2.447986011	3.423718366	0.000617706	0.038703367	1	sp	Q5I0G4	GARS_RAT	45.2	633	326	8	106	1986	96	713	1e-155	552	GARS_RAT	reviewed	Glycine--tRNA ligase (EC 3.6.1.17) (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase) (GlyRS) (Fragment)	Gars	Rattus norvegicus (Rat)	637	diadenosine tetraphosphate biosynthetic process [GO:0015966]; mitochondrial glycyl-tRNA aminoacylation [GO:0070150]	axon [GO:0030424]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]	ATP binding [GO:0005524]; bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity [GO:0004081]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]	axon [GO:0030424]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity [GO:0004081]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]; diadenosine tetraphosphate biosynthetic process [GO:0015966]; mitochondrial glycyl-tRNA aminoacylation [GO:0070150]	GO:0004081; GO:0004820; GO:0005524; GO:0005739; GO:0015966; GO:0030424; GO:0046983; GO:0070062; GO:0070150
TRINITY_DN4517_c0_g1_i3	0	89	0	71	40.74863683	8.817579351	2.240947016	3.934755836	8.33e-05	0.010312842	1	sp	Q6NRI1	ZNT7B_XENLA	53.3	394	138	2	373	1428	1	390	5.7e-97	357.5	ZNT7B_XENLA	reviewed	Zinc transporter 7-B (ZnT-7-B) (Solute carrier family 30 member 7-B)	slc30a7-b znt7-b	Xenopus laevis (African clawed frog)	390	zinc II ion transport [GO:0006829]	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]	cation transmembrane transporter activity [GO:0008324]	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; cation transmembrane transporter activity [GO:0008324]; zinc II ion transport [GO:0006829]	GO:0005794; GO:0006829; GO:0008324; GO:0016021
TRINITY_DN8440_c0_g1_i1	0	54	0	190	58.09151835	9.185781624	2.042887386	4.496469892	6.91e-06	0.002315106	1	sp	Q9SHG6	STIP1_ARATH	31.2	202	122	5	365	955	192	381	1.2e-12	76.6	STIP1_ARATH	reviewed	Septin and tuftelin-interacting protein 1 homolog 1 (Nineteen complex-related protein 1 homolog) (AtNTR1) (Protein SPLICEOSOMAL TIMEKEEPER LOCUS 1)	STIPL1 NTR1 At1g17070 F20D23.23	Arabidopsis thaliana (Mouse-ear cress)	849	mRNA splicing, via spliceosome [GO:0000398]; regulation of circadian rhythm [GO:0042752]; regulation of transcription, DNA-templated [GO:0006355]; spliceosomal complex disassembly [GO:0000390]	nuclear lumen [GO:0031981]; U2-type post-mRNA release spliceosomal complex [GO:0071008]	DNA binding [GO:0003677]; U1 snRNP binding [GO:1990446]	nuclear lumen [GO:0031981]; U2-type post-mRNA release spliceosomal complex [GO:0071008]; DNA binding [GO:0003677]; U1 snRNP binding [GO:1990446]; mRNA splicing, via spliceosome [GO:0000398]; regulation of circadian rhythm [GO:0042752]; regulation of transcription, DNA-templated [GO:0006355]; spliceosomal complex disassembly [GO:0000390]	GO:0000390; GO:0000398; GO:0003677; GO:0006355; GO:0031981; GO:0042752; GO:0071008; GO:1990446
TRINITY_DN22802_c0_g1_i1	0	45	0	134	42.88320247	8.801894834	2.211290962	3.98043269	6.88e-05	0.009044179	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN13344_c0_g1_i1	0	43	0	101	34.83515988	8.559740496	2.349419406	3.643342894	0.00026912	0.021712067	1	sp	Q9FPS4	UBP23_ARATH	34.5	177	94	7	159	635	108	280	3.1e-12	75.1	UBP23_ARATH	reviewed	Ubiquitin carboxyl-terminal hydrolase 23 (EC 3.4.19.12) (Deubiquitinating enzyme 23) (AtUBP23) (Ubiquitin thioesterase 23) (Ubiquitin-specific-processing protease 23)	UBP23 At5g57990 MTI20.25	Arabidopsis thaliana (Mouse-ear cress)	859	protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]		thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]	thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0006511; GO:0016579; GO:0036459
TRINITY_DN46552_c0_g1_i4	0	41	0	85	30.64802419	8.398202918	2.445175726	3.434600969	0.000593427	0.037617264	1	sp	Q9TZM3	LRK1_CAEEL	32.4	2433	1185	61	641	7735	351	2391	0	1086.2	LRK1_CAEEL	reviewed	Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1) (Leucine-rich repeats, ras-like domain, kinase protein 1) (PARK8-related kinase)	lrk-1 T27C10.6	Caenorhabditis elegans	2393	axon extension involved in axon guidance [GO:0048846]; cellular protein localization [GO:0034613]; intracellular signal transduction [GO:0035556]; negative regulation of neuron death [GO:1901215]; response to endoplasmic reticulum stress [GO:0034976]; response to oxidative stress [GO:0006979]; small GTPase mediated signal transduction [GO:0007264]; synaptic vesicle transport [GO:0048489]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; synapse [GO:0045202]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; signal transducer activity [GO:0004871]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; synapse [GO:0045202]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; signal transducer activity [GO:0004871]; axon extension involved in axon guidance [GO:0048846]; cellular protein localization [GO:0034613]; intracellular signal transduction [GO:0035556]; negative regulation of neuron death [GO:1901215]; response to endoplasmic reticulum stress [GO:0034976]; response to oxidative stress [GO:0006979]; small GTPase mediated signal transduction [GO:0007264]; synaptic vesicle transport [GO:0048489]	GO:0004674; GO:0004871; GO:0005524; GO:0005525; GO:0005737; GO:0005794; GO:0006979; GO:0007264; GO:0034613; GO:0034976; GO:0035556; GO:0043025; GO:0045202; GO:0046872; GO:0048489; GO:0048846; GO:1901215
TRINITY_DN6754_c0_g1_i2	0	62	0	134	47.58660063	9.02272813	2.147230392	4.202030749	2.65e-05	0.004899348	1	sp	Q8R3Q2	PP6R2_MOUSE	21.3	470	289	13	210	1562	20	427	1.5e-18	96.7	PP6R2_MOUSE	reviewed	Serine/threonine-protein phosphatase 6 regulatory subunit 2 (SAPS domain family member 2)	Ppp6r2 Kiaa0685 Pp6r2 Saps2	Mus musculus (Mouse)	923	regulation of phosphoprotein phosphatase activity [GO:0043666]	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]	protein phosphatase binding [GO:0019903]	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; protein phosphatase binding [GO:0019903]; regulation of phosphoprotein phosphatase activity [GO:0043666]	GO:0005829; GO:0019903; GO:0043231; GO:0043666
TRINITY_DN2093_c0_g1_i6	0	98	2	57	40.49423852	6.678816258	2.009802716	3.323120326	0.000890165	0.04772315	1	sp	P0C5P9	YL54B_YEAST	81.2	32	6	0	386	291	21	52	1e-06	55.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2779_c0_g1_i9	82	490	48	276	230.4453908	2.612981975	0.710991027	3.675126515	0.000237732	0.020417117	1	sp	Q9QX67	DAP1_RAT	35	117	55	4	105	437	1	102	3.9e-06	55.8	DAP1_RAT	reviewed	Death-associated protein 1 (DAP-1) (Rap7a)	Dap Rap7a	Rattus norvegicus (Rat)	102	apoptotic signaling pathway [GO:0097190]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; negative regulation of autophagy [GO:0010507]		death domain binding [GO:0070513]	death domain binding [GO:0070513]; apoptotic signaling pathway [GO:0097190]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; negative regulation of autophagy [GO:0010507]	GO:0006914; GO:0010507; GO:0034198; GO:0070513; GO:0097190
