Trinity_ID	178	359	463	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN90_c1_g1_i7	30	50	0	1	sp	Q9LT78	RD21C_ARATH	41.5	313	164	8	127	1041	43	344	7.8e-59	229.6	RD21C_ARATH	reviewed	Probable cysteine protease RD21C (EC 3.4.22.-)	RD21C At3g19390 MLD14.12	Arabidopsis thaliana (Mouse-ear cress)	452	proteolysis involved in cellular protein catabolic process [GO:0051603]	extracellular space [GO:0005615]; lysosome [GO:0005764]	extracellular space [GO:0005615]; lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; proteolysis involved in cellular protein catabolic process [GO:0051603]	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197; GO:0005615; GO:0005764; GO:0051603
TRINITY_DN12342_c0_g1_i1	0	60	0	1	sp	Q5EAU9	RMD3_XENLA	40.8	223	129	1	791	1459	222	441	1.3e-41	172.6	RMD3_XENLA	reviewed	Regulator of microtubule dynamics protein 3 (RMD-3) (Protein FAM82A2) (Protein FAM82C)	rmdn3 fam82a2 fam82c	Xenopus laevis (African clawed frog)	463		integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; nucleus [GO:0005634]; spindle pole [GO:0000922]	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; nucleus [GO:0005634]; spindle pole [GO:0000922]		GO:0000922; GO:0005634; GO:0005741; GO:0016021
TRINITY_DN3703_c0_g1_i2	8	1	0	2	sp	Q9JLG8	CAN15_MOUSE	39.3	262	128	6	530	1267	553	799	2e-44	183	CAN15_MOUSE	reviewed	Calpain-15 (EC 3.4.22.-) (Small optic lobes homolog)	Capn15 Solh	Mus musculus (Mouse)	1095	proteolysis [GO:0006508]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; metal ion binding [GO:0046872]; proteolysis [GO:0006508]	calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; metal ion binding [GO:0046872]	GO:0004198; GO:0005737; GO:0006508; GO:0046872
TRINITY_DN14042_c1_g1_i7	7	5	0	2	sp	Q9T034	SYFA_ARATH	72.9	85	23	0	204	458	397	481	3.7e-35	149.8	SYFA_ARATH	reviewed	Phenylalanine--tRNA ligase alpha subunit, cytoplasmic (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	At4g39280 T22F8.180	Arabidopsis thaliana (Mouse-ear cress)	485	phenylalanyl-tRNA aminoacylation [GO:0006432]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; phenylalanine-tRNA ligase complex [GO:0009328]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; phenylalanine-tRNA ligase complex [GO:0009328]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phenylalanine-tRNA ligase activity [GO:0004826]; tRNA binding [GO:0000049]; phenylalanyl-tRNA aminoacylation [GO:0006432]	ATP binding [GO:0005524]; phenylalanine-tRNA ligase activity [GO:0004826]; tRNA binding [GO:0000049]	GO:0000049; GO:0004826; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006432; GO:0009328
TRINITY_DN12031_c0_g1_i1	5	64	0	1	sp	Q86X10	RLGPB_HUMAN	39.8	1602	762	36	166	4719	1	1484	3.2e-296	1020	RLGPB_HUMAN	reviewed	Ral GTPase-activating protein subunit beta (p170)	RALGAPB KIAA1219	Homo sapiens (Human)	1494	activation of GTPase activity [GO:0090630]; regulation of small GTPase mediated signal transduction [GO:0051056]		GTPase activator activity [GO:0005096]; protein heterodimerization activity [GO:0046982]; activation of GTPase activity [GO:0090630]; regulation of small GTPase mediated signal transduction [GO:0051056]	GTPase activator activity [GO:0005096]; protein heterodimerization activity [GO:0046982]	GO:0005096; GO:0046982; GO:0051056; GO:0090630
TRINITY_DN15166_c0_g1_i3	2	2	0	2	sp	Q54MH3	DHX16_DICDI	64.8	697	233	2	968	3055	416	1101	5e-273	942.2	DHX16_DICDI	reviewed	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (EC 3.6.4.13) (DEAH-box protein 16)	dhx16 DDB_G0285937	Dictyostelium discoideum (Slime mold)	1106	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005681; GO:0006397; GO:0008380
TRINITY_DN7340_c0_g1_i1	34	0	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2496_c0_g1_i1	0	1	0	1	sp	P78946	RL26_SCHPO	57.9	76	32	0	74	301	1	76	3.7e-16	85.5	RL26_SCHPO	reviewed	60S ribosomal protein L26	rpl26 SPBC29B5.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	126	cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; nucleus [GO:0005634]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005730; GO:0005829; GO:0022625; GO:0042273
TRINITY_DN3991_c0_g1_i14	8	17	0	1	sp	P42124	EZ_DROME	93.3	60	4	0	2162	1983	626	685	4.5e-27	125.2	EZ_DROME	reviewed	Histone-lysine N-methyltransferase E(z) (EC 2.1.1.356) (Lysine N-methyltransferase 6) (Protein enhancer of zeste)	E(z) KMT6 CG6502	Drosophila melanogaster (Fruit fly)	760	axon guidance [GO:0007411]; gene silencing [GO:0016458]; histone H3-K27 methylation [GO:0070734]; histone H3-K9 methylation [GO:0051567]; histone lysine methylation [GO:0034968]; histone methylation [GO:0016571]; negative regulation of transcription, DNA-templated [GO:0045892]; neurogenesis [GO:0022008]; positive regulation of histone methylation [GO:0031062]; regulation of neuroblast proliferation [GO:1902692]; syncytial blastoderm mitotic cell cycle [GO:0035186]	ESC/E(Z) complex [GO:0035098]; histone methyltransferase complex [GO:0035097]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]	ESC/E(Z) complex [GO:0035098]; histone methyltransferase complex [GO:0035097]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; DNA binding [GO:0003677]; histone methyltransferase activity [GO:0042054]; histone methyltransferase activity (H3-K27 specific) [GO:0046976]; histone methyltransferase activity (H3-K9 specific) [GO:0046974]; sequence-specific DNA binding [GO:0043565]; axon guidance [GO:0007411]; gene silencing [GO:0016458]; histone H3-K27 methylation [GO:0070734]; histone H3-K9 methylation [GO:0051567]; histone lysine methylation [GO:0034968]; histone methylation [GO:0016571]; negative regulation of transcription, DNA-templated [GO:0045892]; neurogenesis [GO:0022008]; positive regulation of histone methylation [GO:0031062]; regulation of neuroblast proliferation [GO:1902692]; syncytial blastoderm mitotic cell cycle [GO:0035186]	DNA binding [GO:0003677]; histone methyltransferase activity [GO:0042054]; histone methyltransferase activity (H3-K27 specific) [GO:0046976]; histone methyltransferase activity (H3-K9 specific) [GO:0046974]; sequence-specific DNA binding [GO:0043565]	GO:0000790; GO:0003677; GO:0005634; GO:0007411; GO:0016458; GO:0016571; GO:0022008; GO:0031062; GO:0034968; GO:0035097; GO:0035098; GO:0035186; GO:0042054; GO:0043565; GO:0045892; GO:0046974; GO:0046976; GO:0051567; GO:0070734; GO:1902692
TRINITY_DN26299_c0_g1_i6	89	72	0	2	sp	P23645	BIB_DROME	43.4	410	180	12	431	1549	15	409	3e-72	275	BIB_DROME	reviewed	Neurogenic protein big brain	bib CG4722	Drosophila melanogaster (Fruit fly)	696	cell-cell adhesion [GO:0098609]; cell differentiation [GO:0030154]; mesoderm development [GO:0007498]; nervous system development [GO:0007399]; transmembrane transport [GO:0055085]; water transport [GO:0006833]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cation channel activity [GO:0005261]; channel activity [GO:0015267]; cell differentiation [GO:0030154]; cell-cell adhesion [GO:0098609]; mesoderm development [GO:0007498]; nervous system development [GO:0007399]; transmembrane transport [GO:0055085]; water transport [GO:0006833]	cation channel activity [GO:0005261]; channel activity [GO:0015267]	GO:0005261; GO:0005886; GO:0006833; GO:0007399; GO:0007498; GO:0015267; GO:0016021; GO:0030154; GO:0055085; GO:0098609
TRINITY_DN9803_c0_g1_i1	13	2	1	2	sp	B8AM21	RU2B_ORYSI	40.7	236	115	5	70	735	8	232	5e-37	156.4	RU2B_ORYSI	reviewed	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')	OsI_11177	Oryza sativa subsp. indica (Rice)	232	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	RNA binding [GO:0003723]	GO:0003723; GO:0005654; GO:0005681; GO:0005686; GO:0005737; GO:0006397; GO:0008380; GO:0015030
TRINITY_DN50879_c0_g2_i1	0	2	0	1	sp	Q34345	COX1_DROMA	74.9	179	45	0	5	541	33	211	1.2e-68	260.8	COX1_DROMA	reviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	mt:CoI CoI	Drosophila mauritiana (Fruit fly)	511	aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0004129; GO:0005743; GO:0006119; GO:0009060; GO:0016021; GO:0020037; GO:0045277; GO:0046872
TRINITY_DN1673_c0_g1_i1	6	4	0	2	sp	P58374	RL30_BRABE	67.3	110	36	0	56	385	2	111	3.8e-37	156	RL30_BRABE	reviewed	60S ribosomal protein L30	RPL30	Branchiostoma belcheri (Amphioxus)	114		cytosolic large ribosomal subunit [GO:0022625]	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0003723; GO:0003735; GO:0022625
TRINITY_DN1504_c0_g1_i2	5120	12751	149	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
