Trinity_ID	380822	380823	380824	380825	cluster	swissprot	uniprot_acc_ID	gene_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Entry.name	Status	Protein.names	Gene.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN19749_c0_g1_i28	690	588	3210	2812	1	sp	Q8JHW2	TSP3A_DANRE	56.6	675	273	8	1503	3491	281	947	1.3e-188	662.5	TSP3A_DANRE	reviewed	Thrombospondin-3a (Thbs3a)	thbs3a thbs3 tsp3 zgc:103461	Danio rerio (Zebrafish) (Brachydanio rerio)	962	cell adhesion [GO:0007155]; mesenchymal to epithelial transition [GO:0060231]; somite development [GO:0061053]	collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]	collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; heparin binding [GO:0008201]; cell adhesion [GO:0007155]; mesenchymal to epithelial transition [GO:0060231]; somite development [GO:0061053]	calcium ion binding [GO:0005509]; heparin binding [GO:0008201]	GO:0005509; GO:0005576; GO:0007155; GO:0008201; GO:0060231; GO:0061053; GO:0062023
TRINITY_DN774_c5_g1_i1	127	58	0	0	2	sp	P56079	CDS_DROME	63.8	425	144	3	158	1426	26	442	7.1e-156	553.9	CDS_DROME	reviewed	Phosphatidate cytidylyltransferase, photoreceptor-specific (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	Cds CdsA CG7962	Drosophila melanogaster (Fruit fly)	447	CDP-diacylglycerol biosynthetic process [GO:0016024]; lipid biosynthetic process [GO:0008610]; negative regulation of triglyceride biosynthetic process [GO:0010868]; phototransduction [GO:0007602]; positive regulation of phosphatidylinositol biosynthetic process [GO:0010513]; regulation of lipid storage [GO:0010883]; rhodopsin mediated signaling pathway [GO:0016056]; sperm individualization [GO:0007291]; terminal branching, open tracheal system [GO:0007430]; thermotaxis [GO:0043052]; visual perception [GO:0007601]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024]; lipid biosynthetic process [GO:0008610]; negative regulation of triglyceride biosynthetic process [GO:0010868]; phototransduction [GO:0007602]; positive regulation of phosphatidylinositol biosynthetic process [GO:0010513]; regulation of lipid storage [GO:0010883]; rhodopsin mediated signaling pathway [GO:0016056]; sperm individualization [GO:0007291]; terminal branching, open tracheal system [GO:0007430]; thermotaxis [GO:0043052]; visual perception [GO:0007601]	phosphatidate cytidylyltransferase activity [GO:0004605]	GO:0004605; GO:0005789; GO:0007291; GO:0007430; GO:0007601; GO:0007602; GO:0008610; GO:0010513; GO:0010868; GO:0010883; GO:0016021; GO:0016024; GO:0016056; GO:0043052
TRINITY_DN1688_c1_g1_i2	5989	4355	2075	2800	2	sp	O15514	RPB4_HUMAN	73	141	36	1	378	800	4	142	6.4e-47	189.9	RPB4_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (DNA-directed RNA polymerase II subunit D) (RNA polymerase II 16 kDa subunit) (RPB16)	POLR2D	Homo sapiens (Human)	142	7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA export from nucleus in response to heat stress [GO:0031990]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral transcription [GO:0050434]; recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex [GO:0034402]; regulation of gene silencing by miRNA [GO:0060964]; RNA metabolic process [GO:0016070]; snRNA transcription by RNA polymerase II [GO:0042795]; somatic stem cell population maintenance [GO:0035019]; transcription, DNA-templated [GO:0006351]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]	cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; RNA polymerase II, core complex [GO:0005665]	cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; RNA polymerase II, core complex [GO:0005665]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]; translation initiation factor binding [GO:0031369]; 7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA export from nucleus in response to heat stress [GO:0031990]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral transcription [GO:0050434]; recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex [GO:0034402]; regulation of gene silencing by miRNA [GO:0060964]; RNA metabolic process [GO:0016070]; snRNA transcription by RNA polymerase II [GO:0042795]; somatic stem cell population maintenance [GO:0035019]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription, DNA-templated [GO:0006351]; transcription-coupled nucleotide-excision repair [GO:0006283]	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]; translation initiation factor binding [GO:0031369]	GO:0000166; GO:0000288; GO:0000398; GO:0000932; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005829; GO:0006283; GO:0006351; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0008543; GO:0016070; GO:0016607; GO:0031369; GO:0031990; GO:0034402; GO:0035019; GO:0042795; GO:0045948; GO:0050434; GO:0060964
TRINITY_DN1308_c4_g1_i35	369	54	724	1456	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3778_c0_g1_i12	0	0	150	53	1	sp	P33175	KIF5A_MOUSE	59	939	360	7	633	3401	6	935	7.7e-268	925.6	KIF5A_MOUSE	reviewed	Kinesin heavy chain isoform 5A (Kinesin heavy chain neuron-specific 1) (Neuronal kinesin heavy chain) (NKHC)	Kif5a Kiaa4086 Kif5 Nkhc1	Mus musculus (Mouse)	1027	anterograde axonal protein transport [GO:0099641]; anterograde dendritic transport of neurotransmitter receptor complex [GO:0098971]; axon guidance [GO:0007411]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; retrograde neuronal dense core vesicle transport [GO:1990049]; synaptic vesicle transport [GO:0048489]; vesicle-mediated transport [GO:0016192]	apical dendrite [GO:0097440]; axon [GO:0030424]; axon cytoplasm [GO:1904115]; central region of growth cone [GO:0090724]; ciliary rootlet [GO:0035253]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendrite cytoplasm [GO:0032839]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; P-body [GO:0000932]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]	apical dendrite [GO:0097440]; axon [GO:0030424]; axon cytoplasm [GO:1904115]; central region of growth cone [GO:0090724]; ciliary rootlet [GO:0035253]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendrite cytoplasm [GO:0032839]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; P-body [GO:0000932]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; ATPase activity [GO:0016887]; kinesin binding [GO:0019894]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]; anterograde axonal protein transport [GO:0099641]; anterograde dendritic transport of neurotransmitter receptor complex [GO:0098971]; axon guidance [GO:0007411]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; retrograde neuronal dense core vesicle transport [GO:1990049]; synaptic vesicle transport [GO:0048489]; vesicle-mediated transport [GO:0016192]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; kinesin binding [GO:0019894]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]	GO:0000932; GO:0003777; GO:0005524; GO:0005737; GO:0005829; GO:0005871; GO:0005874; GO:0007018; GO:0007411; GO:0008017; GO:0008574; GO:0016192; GO:0016887; GO:0019894; GO:0030424; GO:0030425; GO:0030705; GO:0032839; GO:0035253; GO:0043005; GO:0043025; GO:0043204; GO:0044877; GO:0048471; GO:0048489; GO:0090724; GO:0097110; GO:0097440; GO:0098971; GO:0099641; GO:1904115; GO:1990049
TRINITY_DN5477_c0_g1_i1	470	141	34	22	2	sp	P06708	TNNC2_ASTLP	87.3	150	19	0	196	645	1	150	2.2e-68	260.4	TNNC2_ASTLP	reviewed	Troponin C, isotype gamma		Astacus leptodactylus (Turkish narrow-clawed crayfish) (Pontastacus leptodactylus)	150			calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509
TRINITY_DN15422_c0_g1_i9	0	0	202	82	1	sp	Q92879	CELF1_HUMAN	57.2	516	168	11	22	1527	10	486	1.1e-100	370.5	CELF1_HUMAN	reviewed	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	CELF1 BRUNOL2 CUGBP CUGBP1 NAB50	Homo sapiens (Human)	486	embryo development ending in birth or egg hatching [GO:0009792]; germ cell development [GO:0007281]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA interference [GO:0016246]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; BRE binding [GO:0042835]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]; translation repressor activity, mRNA regulatory element binding [GO:0000900]; embryo development ending in birth or egg hatching [GO:0009792]; germ cell development [GO:0007281]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA interference [GO:0016246]	BRE binding [GO:0042835]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]; translation repressor activity, mRNA regulatory element binding [GO:0000900]	GO:0000381; GO:0000900; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0006376; GO:0006397; GO:0007281; GO:0009792; GO:0016020; GO:0016246; GO:0036002; GO:0042835; GO:0043484; GO:1990904
TRINITY_DN98711_c0_g1_i1	658	329	2020	1509	1	sp	O77245	E75_METEN	91.1	416	36	1	501	1748	103	517	6.6e-207	722.6	E75_METEN	reviewed	Nuclear hormone receptor E75 (Nuclear receptor subfamily 1 group D member 3)	E75 NR1D3	Metapenaeus ensis (Greasyback shrimp) (Penaeus ensis)	606		host cell nucleus [GO:0042025]; nucleus [GO:0005634]	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0042025; GO:0043565
TRINITY_DN186_c2_g1_i3	1933	931	276	458	2	sp	P48375	FKB12_DROME	75	108	27	0	163	486	1	108	6.4e-44	181.4	FKB12_DROME	reviewed	12 kDa FK506-binding protein (FKBP) (EC 5.2.1.8) (Macrolide-binding protein) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)	FK506-bp2 FKBP12 CG11001	Drosophila melanogaster (Fruit fly)	108	chaperone-mediated protein folding [GO:0061077]; protein peptidyl-prolyl isomerization [GO:0000413]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; chaperone-mediated protein folding [GO:0061077]; protein peptidyl-prolyl isomerization [GO:0000413]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0000413; GO:0003755; GO:0005737; GO:0005886; GO:0061077
TRINITY_DN14944_c0_g1_i2	159	106	20	0	2	sp	Q9W0T5	PYX_DROME	27.1	517	339	10	995	2503	267	759	1.1e-35	154.5	PYX_DROME	reviewed	Transient receptor potential channel pyrexia	pyx CG17142	Drosophila melanogaster (Fruit fly)	956	calcium ion transport [GO:0006816]; cation transport [GO:0006812]; negative gravitaxis [GO:0048060]; potassium ion transport [GO:0006813]; response to heat [GO:0009408]	cation channel complex [GO:0034703]; integral component of membrane [GO:0016021]	cation channel complex [GO:0034703]; integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]; cation channel activity [GO:0005261]; calcium ion transport [GO:0006816]; cation transport [GO:0006812]; negative gravitaxis [GO:0048060]; potassium ion transport [GO:0006813]; response to heat [GO:0009408]	calcium channel activity [GO:0005262]; cation channel activity [GO:0005261]	GO:0005261; GO:0005262; GO:0006812; GO:0006813; GO:0006816; GO:0009408; GO:0016021; GO:0034703; GO:0048060
