Trinity_ID	178	359	463	cluster	V2.x	uniprot_acc_ID	V4.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	V2.y	V3	V4.y	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
TRINITY_DN6902_c0_g1_i18	95	149	0	1	sp	B4N0P7	KRR1_DROWI	59.5	274	111	0	145	966	4	277	1.7e-93	346.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN186_c2_g1_i25	0	1291	5	1	sp	Q9Z2J0	S23A1_MOUSE	51.5	565	255	4	358	2013	35	593	1.7e-159	565.1	S23A1_MOUSE	reviewed	Solute carrier family 23 member 1 (Na(+)/L-ascorbic acid transporter 1) (Sodium-dependent vitamin C transporter 1) (Yolk sac permease-like molecule 3)	Slc23a1 Svct1 Yspl3	Mus musculus (Mouse)	605	brain development [GO:0007420]; dehydroascorbic acid transport [GO:0070837]; L-ascorbic acid transport [GO:0015882]; lung development [GO:0030324]; response to toxic substance [GO:0009636]; sodium ion transport [GO:0006814]; transepithelial L-ascorbic acid transport [GO:0070904]	apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular organelle [GO:0043229]; plasma membrane [GO:0005886]	dehydroascorbic acid transporter activity [GO:0033300]; L-ascorbate:sodium symporter activity [GO:0008520]; L-ascorbic acid transporter activity [GO:0015229]; sodium-dependent L-ascorbate transmembrane transporter activity [GO:0070890]; sodium ion transmembrane transporter activity [GO:0015081]	apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular organelle [GO:0043229]; plasma membrane [GO:0005886]; dehydroascorbic acid transporter activity [GO:0033300]; L-ascorbate:sodium symporter activity [GO:0008520]; L-ascorbic acid transporter activity [GO:0015229]; sodium ion transmembrane transporter activity [GO:0015081]; sodium-dependent L-ascorbate transmembrane transporter activity [GO:0070890]; brain development [GO:0007420]; dehydroascorbic acid transport [GO:0070837]; L-ascorbic acid transport [GO:0015882]; lung development [GO:0030324]; response to toxic substance [GO:0009636]; sodium ion transport [GO:0006814]; transepithelial L-ascorbic acid transport [GO:0070904]	GO:0005737; GO:0005886; GO:0006814; GO:0007420; GO:0008520; GO:0009636; GO:0009925; GO:0015081; GO:0015229; GO:0015882; GO:0016021; GO:0016324; GO:0030324; GO:0033300; GO:0043229; GO:0070062; GO:0070837; GO:0070890; GO:0070904
TRINITY_DN2906_c0_g1_i15	310	259	0	2	sp	P54359	SEPT2_DROME	75.9	410	97	1	59	1288	12	419	4e-153	543.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN769_c4_g1_i8	27	217	1	1	sp	Q3UUY6	PROM2_MOUSE	22.3	754	512	21	432	2597	97	808	5.2e-32	142.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2024_c13_g1_i1	42631	63403	102	1	sp	Q26061	FRI_PACLE	76.4	165	38	1	397	891	4	167	4.8e-69	263.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN281_c1_g1_i8	4	31	0	1	sp	Q7SXW3	LRC40_DANRE	45.2	600	317	5	436	2223	8	599	1.4e-132	476.1	LRC40_DANRE	reviewed	Leucine-rich repeat-containing protein 40	lrrc40 zgc:63729	Danio rerio (Zebrafish) (Brachydanio rerio)	601	signal transduction [GO:0007165]	plasma membrane [GO:0005886]		plasma membrane [GO:0005886]; signal transduction [GO:0007165]	GO:0005886; GO:0007165
TRINITY_DN1055_c3_g1_i24	0	3	0	1	sp	Q96ST3	SIN3A_HUMAN	57.5	884	232	10	1211	3832	87	836	4.9e-220	766.9	SIN3A_HUMAN	reviewed	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	SIN3A	Homo sapiens (Human)	1273	activation of innate immune response [GO:0002218]; aging [GO:0007568]; cellular protein localization [GO:0034613]; cellular response to dopamine [GO:1903351]; cellular response to glucose stimulus [GO:0071333]; DNA replication [GO:0006260]; hematopoietic progenitor cell differentiation [GO:0002244]; histone deacetylation [GO:0016575]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of histone H3-K27 acetylation [GO:1901675]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; positive regulation of chromatin silencing [GO:0031937]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein deacetylation [GO:0006476]; regulation of hormone levels [GO:0010817]; regulation of lipid metabolic process [GO:0019216]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to methylglyoxal [GO:0051595]; rhythmic process [GO:0048511]; transcription, DNA-templated [GO:0006351]	kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Sin3 complex [GO:0016580]; transcriptional repressor complex [GO:0017053]; transcription factor complex [GO:0005667]	chromatin binding [GO:0003682]; protein complex binding [GO:0032403]; protein deacetylase activity [GO:0033558]; RNA binding [GO:0003723]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II repressing transcription factor binding [GO:0001103]; RNA polymerase II transcription corepressor activity [GO:0001106]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Sin3 complex [GO:0016580]; transcription factor complex [GO:0005667]; transcriptional repressor complex [GO:0017053]; chromatin binding [GO:0003682]; protein complex binding [GO:0032403]; protein deacetylase activity [GO:0033558]; RNA binding [GO:0003723]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II repressing transcription factor binding [GO:0001103]; RNA polymerase II transcription corepressor activity [GO:0001106]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; activation of innate immune response [GO:0002218]; aging [GO:0007568]; cellular protein localization [GO:0034613]; cellular response to dopamine [GO:1903351]; cellular response to glucose stimulus [GO:0071333]; DNA replication [GO:0006260]; hematopoietic progenitor cell differentiation [GO:0002244]; histone deacetylation [GO:0016575]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of histone H3-K27 acetylation [GO:1901675]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of chromatin silencing [GO:0031937]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein deacetylation [GO:0006476]; regulation of hormone levels [GO:0010817]; regulation of lipid metabolic process [GO:0019216]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to methylglyoxal [GO:0051595]; rhythmic process [GO:0048511]; transcription, DNA-templated [GO:0006351]	GO:0000122; GO:0000776; GO:0000976; GO:0001102; GO:0001103; GO:0001106; GO:0001701; GO:0002218; GO:0002230; GO:0002244; GO:0003682; GO:0003700; GO:0003723; GO:0005634; GO:0005654; GO:0005667; GO:0005730; GO:0006260; GO:0006351; GO:0006476; GO:0007568; GO:0010817; GO:0010971; GO:0016575; GO:0016580; GO:0017053; GO:0019216; GO:0031937; GO:0032403; GO:0033558; GO:0034613; GO:0042754; GO:0043066; GO:0043619; GO:0045892; GO:0045944; GO:0048511; GO:0051595; GO:0071333; GO:1900181; GO:1901675; GO:1903351; GO:2000678
TRINITY_DN4235_c1_g1_i1	6213	3584	0	2	sp	P21522	ROA1_SCHAM	68.7	182	56	1	186	731	8	188	2.9e-69	265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN186_c2_g1_i12	50	122	50	1	sp	P54385	DHE3_DROME	75.3	543	119	2	142	1731	22	562	8.2e-246	851.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4763_c0_g1_i3	53527	41363	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
