yourlist:M20200825A94466D2655679D1FD8953E075198DA8554439Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P60322	P60322	NANO2_MOUSE	reviewed	Nanos homolog 2 (NOS-2)	Nanos2 Nos2	Mus musculus (Mouse)	136
Q27597	Q27597	NCPR_DROME	reviewed	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	Cpr CG11567	Drosophila melanogaster (Fruit fly)	679
Q01484	Q01484	ANK2_HUMAN	reviewed	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)	ANK2 ANKB	Homo sapiens (Human)	3957
Q9LMM1	Q9LMM1	C86A4_ARATH	reviewed	Cytochrome P450 86A4 (EC 1.14.14.1)	CYP86A4 At1g01600 F22L4.14	Arabidopsis thaliana (Mouse-ear cress)	554
Q8WXX0	Q8WXX0	DYH7_HUMAN	reviewed	Dynein heavy chain 7, axonemal (Axonemal beta dynein heavy chain 7) (Ciliary dynein heavy chain 7) (Dynein heavy chain-like protein 2) (hDHC2)	DNAH7 KIAA0944	Homo sapiens (Human)	4024
Q9ULJ7	Q9ULJ7	ANR50_HUMAN	reviewed	Ankyrin repeat domain-containing protein 50	ANKRD50 KIAA1223	Homo sapiens (Human)	1429
P00765	P00765	TRYP_ASTAS	reviewed	Trypsin-1 (EC 3.4.21.4) (Trypsin I)		Astacus astacus (Noble crayfish) (Astacus fluviatilis)	237
Q42395	Q42395	FCP_TRICV	reviewed	Fucoxanthin-chlorophyll a-c binding protein, chloroplastic (FCP)	FCPA; FCPB	Trieres chinensis (Marine centric diatom) (Odontella sinensis)	203
Q96RT1	Q96RT1	ERBIN_HUMAN	reviewed	Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2)	ERBIN ERBB2IP KIAA1225 LAP2	Homo sapiens (Human)	1412
Q5SYL3	Q5SYL3	K0100_MOUSE	reviewed	Protein KIAA0100	Kiaa0100	Mus musculus (Mouse)	2234
P56392	P56392	CX7A1_MOUSE	reviewed	Cytochrome c oxidase subunit 7A1, mitochondrial (Cytochrome c oxidase subunit VIIa-heart) (Cytochrome c oxidase subunit VIIa-H) (Cytochrome c oxidase subunit VIIa-muscle) (Cytochrome c oxidase subunit VIIa-M)	Cox7a1 Cox7a Cox7ah	Mus musculus (Mouse)	80
P46575	P46575	RL40_EIMBO	reviewed	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52) (CEP53)]		Eimeria bovis	129
Q9YIC0	Q9YIC0	EF1A_ORYLA	reviewed	Elongation factor 1-alpha (EF-1-alpha)	eef1a ef1a	Oryzias latipes (Japanese rice fish) (Japanese killifish)	461
Q96C36	Q96C36	P5CR2_HUMAN	reviewed	Pyrroline-5-carboxylate reductase 2 (P5C reductase 2) (P5CR 2) (EC 1.5.1.2)	PYCR2	Homo sapiens (Human)	320
Q0V989	Q0V989	CC85C_XENTR	reviewed	Coiled-coil domain-containing protein 85C	ccdc85c	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	391
Q8N988	Q8N988	ZN557_HUMAN	reviewed	Zinc finger protein 557	ZNF557	Homo sapiens (Human)	423
B7Z0W9	B7Z0W9	OTOP_DROME	reviewed	Proton channel OtopLc (Otopetrin-Lc) (DmOtopLc)	OtopLc CG42265	Drosophila melanogaster (Fruit fly)	1576
Q91Z80	Q91Z80	LIPA4_RAT	reviewed	Liprin-alpha-4 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-4) (PTPRF-interacting protein alpha-4) (Fragment)	Ppfia4	Rattus norvegicus (Rat)	1043
Q83A83	Q83A83	METC_COXBU	reviewed	Cystathionine beta-lyase (CBL) (EC 4.4.1.13) (Beta-cystathionase) (Cysteine lyase) (Cysteine-S-conjugate beta-lyase)	metC CBU_2025	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	387
A0A0R4IBK5	A0A0R4IBK5	R213A_DANRE	reviewed	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)	rnf213a	Danio rerio (Zebrafish) (Brachydanio rerio)	5209
Q1MTN8	Q1MTN8	ACL4_SCHPO	reviewed	Probable assembly chaperone of rpl4	SPBC16D10.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	336
A7X5R6	A7X5R6	BAG6_ORNAN	reviewed	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	BAG6 BAT3	Ornithorhynchus anatinus (Duckbill platypus)	1088
Q23551	Q23551	UNC22_CAEEL	reviewed	Twitchin (EC 2.7.11.1) (Uncoordinated protein 22)	unc-22 ZK617.1	Caenorhabditis elegans	7158
Q000K2	Q000K2	ADT2_TACAC	reviewed	ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]	SLC25A5	Tachyglossus aculeatus aculeatus (Southeast Australian short-beaked echidna)	298
A9LYI1	A9LYI1	PSBC_ACOAM	reviewed	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	Acorus americanus (Sweetflag) (Acorus calamus var. americanus)	473
P02564	P02564	MYH7_RAT	reviewed	Myosin-7 (Myosin heavy chain 7) (Myosin heavy chain slow isoform) (MyHC-slow) (Myosin heavy chain, cardiac muscle beta isoform) (MyHC-beta)	Myh7	Rattus norvegicus (Rat)	1935
Q8TAD8	Q8TAD8	SNIP1_HUMAN	reviewed	Smad nuclear-interacting protein 1 (FHA domain-containing protein SNIP1)	SNIP1	Homo sapiens (Human)	396
Q498T2	Q498T2	CHTOP_RAT	reviewed	Chromatin target of PRMT1 protein (Friend of PRMT1 protein) (Small arginine- and glycine-rich protein) (SRAG)	Chtop Fop	Rattus norvegicus (Rat)	248
B2J1L7	B2J1L7	GCH1_NOSP7	reviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE Npun_R1707	Nostoc punctiforme (strain ATCC 29133 / PCC 73102)	235
Q7Z7G8	Q7Z7G8	VP13B_HUMAN	reviewed	Vacuolar protein sorting-associated protein 13B (Cohen syndrome protein 1)	VPS13B CHS1 COH1 KIAA0532	Homo sapiens (Human)	4022
P27393	P27393	CO4A2_ASCSU	reviewed	Collagen alpha-2(IV) chain		Ascaris suum (Pig roundworm) (Ascaris lumbricoides)	1763
Q9Z1N4	Q9Z1N4	BPNT1_RAT	reviewed	3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (Bisphosphate 3'-nucleotidase 1) (PAP-inositol 1,4-phosphatase) (PIP) (scHAL2 analogous 3)	Bpnt1 Sal3	Rattus norvegicus (Rat)	308
Q6NTW5	Q6NTW5	IMPA3_XENLA	reviewed	Inositol monophosphatase 3 (IMP 3) (IMPase 3) (EC 3.1.3.25) (3'(2'), 5'-bisphosphate nucleotidase 2) (Inositol monophosphatase domain-containing protein 1) (Inositol-1(or 4)-monophosphatase 3) (Myo-inositol monophosphatase A3)	bpnt2 impa3 impad1	Xenopus laevis (African clawed frog)	351
Q27712	Q27712	CP2L1_PANAR	reviewed	Cytochrome P450 2L1 (EC 1.14.14.1) (CYPIIL1)	CYP2L1	Panulirus argus (Caribbean spiny lobster) (Palinurus argus)	492
Q58575	Q58575	AROC_METJA	reviewed	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC MJ1175	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	378
Q26454	Q26454	MCM4_DROME	reviewed	DNA replication licensing factor MCM4 (EC 3.6.4.12) (Protein disc proliferation abnormal)	dpa CG1616	Drosophila melanogaster (Fruit fly)	866
Q8K274	Q8K274	KT3K_MOUSE	reviewed	Ketosamine-3-kinase (EC 2.7.1.172) (Fructosamine-3-kinase-related protein) (FN3K-RP) (FN3K-related protein) (Protein-psicosamine 3-kinase FN3KRP) (EC 2.7.1.-)	Fn3krp	Mus musculus (Mouse)	309
Q6AZB8	Q6AZB8	HARB1_DANRE	reviewed	Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)	harbi1 zgc:91866	Danio rerio (Zebrafish) (Brachydanio rerio)	349
O18405	O18405	SURF4_DROME	reviewed	Surfeit locus protein 4 homolog	Surf4 Surf-4 CG6202	Drosophila melanogaster (Fruit fly)	270
P81274	P81274	GPSM2_HUMAN	reviewed	G-protein-signaling modulator 2 (Mosaic protein LGN)	GPSM2 LGN	Homo sapiens (Human)	684
Q8VDU0	Q8VDU0	GPSM2_MOUSE	reviewed	G-protein-signaling modulator 2 (Pins homolog)	Gpsm2 Lgn Pins	Mus musculus (Mouse)	679
