Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (UniPathway)	Cross-reference (InterPro)	Cross-reference (PANTHER)
Q8JHW2	TSP3A_DANRE	reviewed	Thrombospondin-3a (Thbs3a)	thbs3a thbs3 tsp3 zgc:103461	Danio rerio (Zebrafish) (Brachydanio rerio)	962	cell adhesion [GO:0007155]; mesenchymal to epithelial transition [GO:0060231]; somite development [GO:0061053]	collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]	collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; heparin binding [GO:0008201]; cell adhesion [GO:0007155]; mesenchymal to epithelial transition [GO:0060231]; somite development [GO:0061053]	calcium ion binding [GO:0005509]; heparin binding [GO:0008201]	GO:0005509; GO:0005576; GO:0007155; GO:0008201; GO:0060231; GO:0061053; GO:0062023		IPR013320;IPR001881;IPR013032;IPR000742;IPR018097;IPR009030;IPR001791;IPR024665;IPR028507;IPR003367;IPR017897;IPR008859;IPR028974;	PTHR10199:SF114;
P33175	KIF5A_MOUSE	reviewed	Kinesin heavy chain isoform 5A (Kinesin heavy chain neuron-specific 1) (Neuronal kinesin heavy chain) (NKHC)	Kif5a Kiaa4086 Kif5 Nkhc1	Mus musculus (Mouse)	1027	anterograde axonal protein transport [GO:0099641]; anterograde dendritic transport of neurotransmitter receptor complex [GO:0098971]; axon guidance [GO:0007411]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; retrograde neuronal dense core vesicle transport [GO:1990049]; synaptic vesicle transport [GO:0048489]; vesicle-mediated transport [GO:0016192]	apical dendrite [GO:0097440]; axon [GO:0030424]; axon cytoplasm [GO:1904115]; central region of growth cone [GO:0090724]; ciliary rootlet [GO:0035253]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendrite cytoplasm [GO:0032839]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; P-body [GO:0000932]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]	apical dendrite [GO:0097440]; axon [GO:0030424]; axon cytoplasm [GO:1904115]; central region of growth cone [GO:0090724]; ciliary rootlet [GO:0035253]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendrite cytoplasm [GO:0032839]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; P-body [GO:0000932]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; ATPase activity [GO:0016887]; kinesin binding [GO:0019894]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]; anterograde axonal protein transport [GO:0099641]; anterograde dendritic transport of neurotransmitter receptor complex [GO:0098971]; axon guidance [GO:0007411]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; retrograde neuronal dense core vesicle transport [GO:1990049]; synaptic vesicle transport [GO:0048489]; vesicle-mediated transport [GO:0016192]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; kinesin binding [GO:0019894]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]	GO:0000932; GO:0003777; GO:0005524; GO:0005737; GO:0005829; GO:0005871; GO:0005874; GO:0007018; GO:0007411; GO:0008017; GO:0008574; GO:0016192; GO:0016887; GO:0019894; GO:0030424; GO:0030425; GO:0030705; GO:0032839; GO:0035253; GO:0043005; GO:0043025; GO:0043204; GO:0044877; GO:0048471; GO:0048489; GO:0090724; GO:0097110; GO:0097440; GO:0098971; GO:0099641; GO:1904115; GO:1990049		IPR027640;IPR019821;IPR001752;IPR036961;IPR027417;	PTHR24115;
Q92879	CELF1_HUMAN	reviewed	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	CELF1 BRUNOL2 CUGBP CUGBP1 NAB50	Homo sapiens (Human)	486	embryo development ending in birth or egg hatching [GO:0009792]; germ cell development [GO:0007281]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA interference [GO:0016246]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; BRE binding [GO:0042835]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]; translation repressor activity, mRNA regulatory element binding [GO:0000900]; embryo development ending in birth or egg hatching [GO:0009792]; germ cell development [GO:0007281]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA interference [GO:0016246]	BRE binding [GO:0042835]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]; translation repressor activity, mRNA regulatory element binding [GO:0000900]	GO:0000381; GO:0000900; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0006376; GO:0006397; GO:0007281; GO:0009792; GO:0016020; GO:0016246; GO:0036002; GO:0042835; GO:0043484; GO:1990904		IPR034196;IPR034198;IPR034199;IPR012677;IPR035979;IPR000504;	
O77245	E75_METEN	reviewed	Nuclear hormone receptor E75 (Nuclear receptor subfamily 1 group D member 3)	E75 NR1D3	Metapenaeus ensis (Greasyback shrimp) (Penaeus ensis)	606		host cell nucleus [GO:0042025]; nucleus [GO:0005634]	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0042025; GO:0043565		IPR035500;IPR000536;IPR001723;IPR001628;IPR013088;	
A9X4T1	CHD1_BOMMO	reviewed	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	CHD1	Bombyx mori (Silk moth)	1365	chromatin organization [GO:0006325]	chromosome [GO:0005694]; nucleus [GO:0005634]	chromosome [GO:0005694]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; chromatin organization [GO:0006325]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0005694; GO:0006325		IPR040793;IPR016197;IPR000953;IPR023780;IPR023779;IPR002464;IPR025260;IPR014001;IPR001650;IPR027417;IPR038718;IPR000330;	
A2AWA9	RBGP1_MOUSE	reviewed	Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)	Rabgap1 Kiaa4104	Mus musculus (Mouse)	1064	activation of GTPase activity [GO:0090630]; cell cycle [GO:0007049]; intracellular protein transport [GO:0006886]; regulation of GTPase activity [GO:0043087]	cytosol [GO:0005829]; microtubule organizing center [GO:0005815]	cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]; activation of GTPase activity [GO:0090630]; cell cycle [GO:0007049]; intracellular protein transport [GO:0006886]; regulation of GTPase activity [GO:0043087]	GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]	GO:0005096; GO:0005815; GO:0005829; GO:0006886; GO:0007049; GO:0017137; GO:0043087; GO:0090630		IPR022164;IPR011993;IPR006020;IPR000195;IPR035969;IPR033185;	PTHR22957:SF439;
Q9UPN3	MACF1_HUMAN	reviewed	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA1251	Homo sapiens (Human)	7388	Golgi to plasma membrane protein transport [GO:0043001]; intermediate filament cytoskeleton organization [GO:0045104]; positive regulation of axon extension [GO:0045773]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of cell migration [GO:0030334]; regulation of epithelial cell migration [GO:0010632]; regulation of focal adhesion assembly [GO:0051893]; regulation of microtubule-based process [GO:0032886]; regulation of neuron projection arborization [GO:0150011]; Wnt signaling pathway [GO:0016055]; wound healing [GO:0042060]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; ATPase activity [GO:0016887]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; microtubule minus-end binding [GO:0051011]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]; Golgi to plasma membrane protein transport [GO:0043001]; intermediate filament cytoskeleton organization [GO:0045104]; positive regulation of axon extension [GO:0045773]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of cell migration [GO:0030334]; regulation of epithelial cell migration [GO:0010632]; regulation of focal adhesion assembly [GO:0051893]; regulation of microtubule-based process [GO:0032886]; regulation of neuron projection arborization [GO:0150011]; Wnt signaling pathway [GO:0016055]; wound healing [GO:0042060]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; ATPase activity [GO:0016887]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; microtubule minus-end binding [GO:0051011]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]	GO:0003723; GO:0003779; GO:0005198; GO:0005509; GO:0005737; GO:0005794; GO:0005856; GO:0005874; GO:0005886; GO:0010632; GO:0015629; GO:0016020; GO:0016055; GO:0016887; GO:0030177; GO:0030334; GO:0032587; GO:0032886; GO:0042060; GO:0043001; GO:0045104; GO:0045296; GO:0045773; GO:0051011; GO:0051015; GO:0051893; GO:0150011		IPR001589;IPR001715;IPR036872;IPR041615;IPR041573;IPR029926;IPR011992;IPR018247;IPR002048;IPR003108;IPR036534;IPR043197;IPR035915;IPR001101;IPR001452;IPR018159;IPR002017;	PTHR23169;PTHR23169:SF24;
Q90941	PB1_CHICK	reviewed	Protein polybromo-1	PBRM1 PB1	Gallus gallus (Chicken)	1633	ATP-dependent chromatin remodeling [GO:0043044]; nucleosome disassembly [GO:0006337]; transcription elongation from RNA polymerase II promoter [GO:0006368]	RSC-type complex [GO:0016586]	RSC-type complex [GO:0016586]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; ATP-dependent chromatin remodeling [GO:0043044]; nucleosome disassembly [GO:0006337]; transcription elongation from RNA polymerase II promoter [GO:0006368]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]	GO:0003677; GO:0003682; GO:0006337; GO:0006368; GO:0016586; GO:0043044		IPR001025;IPR043151;IPR001487;IPR036427;IPR018359;IPR009071;IPR036910;IPR037968;IPR037382;	PTHR16062;
P35559	IDE_RAT	reviewed	Insulin-degrading enzyme (EC 3.4.24.56) (Insulin protease) (Insulinase) (Insulysin)	Ide	Rattus norvegicus (Rat)	1019	amyloid-beta clearance [GO:0097242]; amyloid-beta clearance by cellular catabolic process [GO:0150094]; amyloid-beta metabolic process [GO:0050435]; antigen processing and presentation of endogenous peptide antigen via MHC class I [GO:0019885]; bradykinin catabolic process [GO:0010815]; cellular protein catabolic process [GO:0044257]; determination of adult lifespan [GO:0008340]; hormone catabolic process [GO:0042447]; insulin catabolic process [GO:1901143]; insulin metabolic process [GO:1901142]; negative regulation of proteolysis [GO:0045861]; peptide catabolic process [GO:0043171]; positive regulation of protein binding [GO:0032092]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of aerobic respiration [GO:1903715]; ubiquitin recycling [GO:0010992]	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; beta-endorphin binding [GO:0031626]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; insulin binding [GO:0043559]; metalloendopeptidase activity [GO:0004222]; peptidase activity [GO:0008233]; peptide binding [GO:0042277]; peptide hormone binding [GO:0017046]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; ubiquitin-dependent protein binding [GO:0140036]; zinc ion binding [GO:0008270]; amyloid-beta clearance [GO:0097242]; amyloid-beta clearance by cellular catabolic process [GO:0150094]; amyloid-beta metabolic process [GO:0050435]; antigen processing and presentation of endogenous peptide antigen via MHC class I [GO:0019885]; bradykinin catabolic process [GO:0010815]; cellular protein catabolic process [GO:0044257]; determination of adult lifespan [GO:0008340]; hormone catabolic process [GO:0042447]; insulin catabolic process [GO:1901143]; insulin metabolic process [GO:1901142]; negative regulation of proteolysis [GO:0045861]; peptide catabolic process [GO:0043171]; positive regulation of protein binding [GO:0032092]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of aerobic respiration [GO:1903715]; ubiquitin recycling [GO:0010992]	amyloid-beta binding [GO:0001540]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; beta-endorphin binding [GO:0031626]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; insulin binding [GO:0043559]; metalloendopeptidase activity [GO:0004222]; peptidase activity [GO:0008233]; peptide binding [GO:0042277]; peptide hormone binding [GO:0017046]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; ubiquitin-dependent protein binding [GO:0140036]; zinc ion binding [GO:0008270]	GO:0001540; GO:0004175; GO:0004222; GO:0005524; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005777; GO:0005782; GO:0005829; GO:0006508; GO:0008233; GO:0008270; GO:0008340; GO:0009897; GO:0009986; GO:0010815; GO:0010992; GO:0016323; GO:0016887; GO:0017046; GO:0019885; GO:0030163; GO:0031597; GO:0031626; GO:0032092; GO:0042277; GO:0042447; GO:0042802; GO:0042803; GO:0043171; GO:0043559; GO:0044257; GO:0044877; GO:0045861; GO:0050435; GO:0051603; GO:0070062; GO:0097242; GO:0140036; GO:0150094; GO:1901142; GO:1901143; GO:1903715		IPR011249;IPR011765;IPR001431;IPR007863;IPR032632;	
Q1LU99	RIPR2_DANRE	reviewed	Rho family-interacting cell polarization regulator 2	ripor2 fam65b si:ch211-81e5.1 si:dkey-218n20.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1083	cell adhesion [GO:0007155]; cellular response to chemokine [GO:1990869]; chemotaxis [GO:0006935]; negative regulation of cell adhesion [GO:0007162]; negative regulation of establishment of T cell polarity [GO:1903904]; negative regulation of protein localization to cell leading edge [GO:1905872]; negative regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001107]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of T cell migration [GO:2000405]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of neutrophil extravasation [GO:2000391]; regulation of establishment of cell polarity [GO:2000114]; sensory perception of sound [GO:0007605]; skeletal muscle fiber development [GO:0048741]	apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; filopodium [GO:0030175]; stereocilium membrane [GO:0060171]	apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; filopodium [GO:0030175]; stereocilium membrane [GO:0060171]; 14-3-3 protein binding [GO:0071889]; cell adhesion [GO:0007155]; cellular response to chemokine [GO:1990869]; chemotaxis [GO:0006935]; negative regulation of cell adhesion [GO:0007162]; negative regulation of establishment of T cell polarity [GO:1903904]; negative regulation of protein localization to cell leading edge [GO:1905872]; negative regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001107]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of T cell migration [GO:2000405]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of neutrophil extravasation [GO:2000391]; regulation of establishment of cell polarity [GO:2000114]; sensory perception of sound [GO:0007605]; skeletal muscle fiber development [GO:0048741]	14-3-3 protein binding [GO:0071889]	GO:0005737; GO:0005856; GO:0006935; GO:0007155; GO:0007162; GO:0007605; GO:0016324; GO:0030175; GO:0035024; GO:0045663; GO:0048741; GO:0051491; GO:0060171; GO:0071889; GO:0090023; GO:1901741; GO:1903904; GO:1905872; GO:1990869; GO:2000114; GO:2000391; GO:2000405; GO:2001107		IPR011989;IPR016024;IPR031780;IPR033035;IPR026136;	PTHR15829;PTHR15829:SF2;
